layer_name,bit_position,auroc,fpr,detection_error,auroc_fi,fpr_fi,detection_error_fi
conv1,31,90.32,39.29,15.84,90.31,39.15,15.84
layer1.0.conv1,31,90.32,39.29,15.84,90.32,39.15,15.82
layer1.0.conv2,31,90.32,39.29,15.84,90.32,39.2,15.84
layer1.1.conv1,31,90.32,39.29,15.84,90.32,39.41,15.84
layer1.1.conv2,31,90.32,39.29,15.84,90.32,39.28,15.84
layer1.2.conv1,31,90.32,39.29,15.84,90.32,39.28,15.84
layer1.2.conv2,31,90.32,39.29,15.84,90.32,39.25,15.84
layer2.0.conv1,31,90.32,39.29,15.84,90.32,39.19,15.82
layer2.0.conv2,31,90.32,39.29,15.84,90.32,39.21,15.83
layer2.1.conv1,31,90.32,39.29,15.84,90.32,39.45,15.84
layer2.1.conv2,31,90.32,39.29,15.84,90.32,39.28,15.84
layer2.2.conv1,31,90.32,39.29,15.84,90.32,39.2,15.84
layer2.2.conv2,31,90.32,39.29,15.84,90.32,39.28,15.84
layer2.3.conv1,31,90.32,39.29,15.84,90.32,39.39,15.84
layer2.3.conv2,31,90.32,39.29,15.84,90.32,39.29,15.84
layer3.0.conv1,31,90.32,39.29,15.84,90.32,39.28,15.83
layer3.0.conv2,31,90.32,39.29,15.84,90.32,39.46,15.84
layer3.1.conv1,31,90.32,39.29,15.84,90.33,39.4,15.82
layer3.1.conv2,31,90.32,39.29,15.84,90.32,39.39,15.82
layer3.2.conv1,31,90.32,39.29,15.84,90.32,39.23,15.84
layer3.2.conv2,31,90.32,39.29,15.84,90.32,39.42,15.84
layer3.3.conv1,31,90.32,39.29,15.84,90.32,39.3,15.83
layer3.3.conv2,31,90.32,39.29,15.84,90.32,39.29,15.84
layer3.4.conv1,31,90.32,39.29,15.84,90.32,39.14,15.84
layer3.4.conv2,31,90.32,39.29,15.84,90.32,39.29,15.83
layer3.5.conv1,31,90.32,39.29,15.84,90.32,39.3,15.84
layer3.5.conv2,31,90.32,39.29,15.84,90.32,39.34,15.84
layer4.0.conv1,31,90.32,39.29,15.84,90.32,39.45,15.82
layer4.0.conv2,31,90.32,39.29,15.84,90.32,39.38,15.83
layer4.1.conv1,31,90.32,39.29,15.84,90.31,39.29,15.84
layer4.1.conv2,31,90.32,39.29,15.84,90.32,39.3,15.84
layer4.2.conv1,31,90.32,39.29,15.84,90.32,39.29,15.84
layer4.2.conv2,31,90.32,39.29,15.84,90.32,39.29,15.84
linear,31,90.32,39.29,15.84,84.31,94.14,18.77
